name,cases,TotalDeaths,TotalRecovered,population
USA,48072898,784779.0,38050509.0,333664823.0
India,34447536,463655.0,33849785.0,1398605778.0
Brazil,21960766,611384.0,21162046.0,214631543.0
UK,9600369,142945.0,7863878.0,68375143.0
Russia,9109094,256597.0,7812557.0,146020326.0
Turkey,8432018,73746.0,7914217.0,85583174.0
France,7290886,118224.0,7015542.0,65471673.0
Iran,6045212,128272.0,5708253.0,85466388.0
Argentina,5307159,116250.0,5173493.0,45764409.0
Germany,5068919,98361.0,4494300.0,84151469.0
Spain,5056954,87716.0,4894422.0,46779627.0
Colombia,5034266,127833.0,4874808.0,51626381.0
Italy,4865260,132819.0,4611566.0,60339817.0
Indonesia,4251076,143670.0,4098884.0,277488720.0
Mexico,3846508,291204.0,3209863.0,130789817.0
Ukraine,3228441,77147.0,2642459.0,43373090.0
Poland,3214023,78879.0,2817206.0,37789727.0
South Africa,2926075,89489.0,2819870.0,60333567.0
Philippines,2818511,45709.0,2745777.0,111579902.0
Malaysia,2551452,29729.0,2455767.0,32934346.0
Netherlands,2314304,18750.0,2025289.0,17186888.0
Peru,2215373,200672.0,0.0,33601265.0
Iraq,2070076,23536.0,2026387.0,41458008.0
Thailand,2030700,20141.0,1918452.0,70040270.0
Czechia,1896075,31541.0,1722749.0,10736239.0
